"DateTime";"day_ahead_lmp (avg) (neiso)"
"2019-01-01 00:00:00";25,308
"2019-01-01 01:00:00";20,291
"2019-01-01 02:00:00";18,736
"2019-01-01 03:00:00";18,969
"2019-01-01 04:00:00";17,685
"2019-01-01 05:00:00";20,046
"2019-01-01 06:00:00";20,483
"2019-01-01 07:00:00";22,825
"2019-01-01 08:00:00";23,581
"2019-01-01 09:00:00";22,205
"2019-01-01 10:00:00";25,062
"2019-01-01 11:00:00";25,445
"2019-01-01 12:00:00";25,43
"2019-01-01 13:00:00";25,165
"2019-01-01 14:00:00";25,11
"2019-01-01 15:00:00";24,17
"2019-01-01 16:00:00";25,834
"2019-01-01 17:00:00";36,873
"2019-01-01 18:00:00";33,105
"2019-01-01 19:00:00";28,612
"2019-01-01 20:00:00";25,551
"2019-01-01 21:00:00";24,667
"2019-01-01 22:00:00";24,2
"2019-01-01 23:00:00";23,417
"2019-01-02 00:00:00";24,263
"2019-01-02 01:00:00";23,149
"2019-01-02 02:00:00";19,802
"2019-01-02 03:00:00";21,725
"2019-01-02 04:00:00";24,566
"2019-01-02 05:00:00";28,933
"2019-01-02 06:00:00";32,069
"2019-01-02 07:00:00";28,945
"2019-01-02 08:00:00";28,211
"2019-01-02 09:00:00";25,52
"2019-01-02 10:00:00";30,1
"2019-01-02 11:00:00";26,811
"2019-01-02 12:00:00";25,48
"2019-01-02 13:00:00";25,7
"2019-01-02 14:00:00";26,965
"2019-01-02 15:00:00";30,417
"2019-01-02 16:00:00";41,458
"2019-01-02 17:00:00";61,465
"2019-01-02 18:00:00";60,166
"2019-01-02 19:00:00";53,913
"2019-01-02 20:00:00";46,099
"2019-01-02 21:00:00";38,368
"2019-01-02 22:00:00";33,698
"2019-01-02 23:00:00";25,645
"2019-01-03 00:00:00";33,589
"2019-01-03 01:00:00";30,574
"2019-01-03 02:00:00";27,824
"2019-01-03 03:00:00";28,008
"2019-01-03 04:00:00";30,568
"2019-01-03 05:00:00";37,882
"2019-01-03 06:00:00";47,304
"2019-01-03 07:00:00";47,293
"2019-01-03 08:00:00";42,789
"2019-01-03 09:00:00";44,85
"2019-01-03 10:00:00";44,855
"2019-01-03 11:00:00";34,402
"2019-01-03 12:00:00";28,126
"2019-01-03 13:00:00";27,211
"2019-01-03 14:00:00";27,22
"2019-01-03 15:00:00";27,113
"2019-01-03 16:00:00";32,605
"2019-01-03 17:00:00";43,722
"2019-01-03 18:00:00";40,961
"2019-01-03 19:00:00";39,055
"2019-01-03 20:00:00";33,466
"2019-01-03 21:00:00";29,047
"2019-01-03 22:00:00";25,677
"2019-01-03 23:00:00";24,764
"2019-01-04 00:00:00";22,008
"2019-01-04 01:00:00";22,738
"2019-01-04 02:00:00";22,007
"2019-01-04 03:00:00";21,999
"2019-01-04 04:00:00";22,082
"2019-01-04 05:00:00";29,526
"2019-01-04 06:00:00";28,875
"2019-01-04 07:00:00";30,961
"2019-01-04 08:00:00";27,161
"2019-01-04 09:00:00";23,855
