"DateTime";"grid (86) (kw)"
"2014-06-01 00:00:00";1,897
"2014-06-01 00:15:00";0,234
"2014-06-01 00:30:00";0,228
"2014-06-01 00:45:00";0,221
"2014-06-01 01:00:00";0,214
"2014-06-01 01:15:00";0,218
"2014-06-01 01:30:00";0,285
"2014-06-01 01:45:00";0,209
"2014-06-01 02:00:00";0,159
"2014-06-01 02:15:00";0,168
"2014-06-01 02:30:00";0,224
"2014-06-01 02:45:00";0,306
"2014-06-01 03:00:00";0,287
"2014-06-01 03:15:00";0,278
"2014-06-01 03:30:00";0,192
"2014-06-01 03:45:00";0,179
"2014-06-01 04:00:00";0,178
"2014-06-01 04:15:00";0,379
"2014-06-01 04:30:00";1,004
"2014-06-01 04:45:00";0,657
"2014-06-01 05:00:00";0,583
"2014-06-01 05:15:00";0,546
"2014-06-01 05:30:00";0,53
"2014-06-01 05:45:00";0,584
"2014-06-01 06:00:00";3,173
"2014-06-01 06:15:00";0,685
"2014-06-01 06:30:00";1,56
"2014-06-01 06:45:00";0,963
"2014-06-01 07:00:00";0,525
"2014-06-01 07:15:00";0,378
"2014-06-01 07:30:00";0,718
"2014-06-01 07:45:00";2,843
"2014-06-01 08:00:00";3,309
"2014-06-01 08:15:00";3,723
"2014-06-01 08:30:00";1,332
"2014-06-01 08:45:00";1,241
"2014-06-01 09:00:00";1,453
"2014-06-01 09:15:00";0,507
"2014-06-01 09:30:00";2,507
"2014-06-01 09:45:00";0,565
"2014-06-01 10:00:00";2,31
"2014-06-01 10:15:00";4,354
"2014-06-01 10:30:00";3,824
"2014-06-01 10:45:00";2,582
"2014-06-01 11:00:00";6,123
"2014-06-01 11:15:00";6,606
"2014-06-01 11:30:00";5,455
"2014-06-01 11:45:00";7,089
"2014-06-01 12:00:00";5,947
"2014-06-01 12:15:00";5,124
"2014-06-01 12:30:00";4,795
"2014-06-01 12:45:00";4,174
"2014-06-01 13:00:00";3,589
"2014-06-01 13:15:00";3,906
"2014-06-01 13:30:00";3,83
"2014-06-01 13:45:00";3,887
"2014-06-01 14:00:00";3,903
"2014-06-01 14:15:00";3,943
"2014-06-01 14:30:00";3,897
"2014-06-01 14:45:00";3,883
"2014-06-01 15:00:00";3,88
"2014-06-01 15:15:00";3,804
"2014-06-01 15:30:00";4,39
"2014-06-01 15:45:00";7,291
"2014-06-01 16:00:00";4,827
"2014-06-01 16:15:00";1,786
"2014-06-01 16:30:00";1,178
"2014-06-01 16:45:00";1,258
"2014-06-01 17:00:00";1,794
"2014-06-01 17:15:00";4,051
"2014-06-01 17:30:00";4,066
"2014-06-01 17:45:00";2,721
"2014-06-01 18:00:00";0,935
"2014-06-01 18:15:00";0,855
"2014-06-01 18:30:00";2,383
"2014-06-01 18:45:00";3,882
"2014-06-01 19:00:00";2,122
"2014-06-01 19:15:00";0,905
"2014-06-01 19:30:00";1,094
"2014-06-01 19:45:00";3,748
"2014-06-01 20:00:00";1,435
"2014-06-01 20:15:00";1,029
"2014-06-01 20:30:00";1,255
"2014-06-01 20:45:00";1,508
"2014-06-01 21:00:00";3,732
"2014-06-01 21:15:00";3,641
"2014-06-01 21:30:00";3,62
"2014-06-01 21:45:00";3,541
"2014-06-01 22:00:00";3,425
"2014-06-01 22:15:00";3,347
"2014-06-01 22:30:00";3,289
"2014-06-01 22:45:00";1,217
"2014-06-01 23:00:00";2,122
"2014-06-01 23:15:00";3,101
"2014-06-01 23:30:00";0,583
"2014-06-01 23:45:00";2,482
"2014-06-02 00:00:00";0,508
"2014-06-02 00:15:00";2,586
"2014-06-02 00:30:00";0,28
"2014-06-02 00:45:00";0,231
"2014-06-02 01:00:00";0,232
"2014-06-02 01:15:00";0,328
"2014-06-02 01:30:00";0,343
"2014-06-02 01:45:00";0,328
"2014-06-02 02:00:00";0,317
"2014-06-02 02:15:00";0,295
"2014-06-02 02:30:00";0,231
"2014-06-02 02:45:00";0,231
"2014-06-02 03:00:00";0,231
"2014-06-02 03:15:00";0,283
"2014-06-02 03:30:00";0,347
"2014-06-02 03:45:00";0,33
"2014-06-02 04:00:00";0,322
"2014-06-02 04:15:00";0,315
"2014-06-02 04:30:00";0,244
"2014-06-02 04:45:00";0,227
"2014-06-02 05:00:00";0,227
"2014-06-02 05:15:00";0,228
"2014-06-02 05:30:00";0,441
"2014-06-02 05:45:00";0,748
"2014-06-02 06:00:00";0,971
"2014-06-02 06:15:00";0,766
"2014-06-02 06:30:00";1,332
"2014-06-02 06:45:00";1,055
"2014-06-02 07:00:00";1,338
"2014-06-02 07:15:00";0,922
"2014-06-02 07:30:00";1,105
"2014-06-02 07:45:00";0,592
"2014-06-02 08:00:00";0,43
"2014-06-02 08:15:00";0,414
"2014-06-02 08:30:00";0,307
"2014-06-02 08:45:00";0,302
"2014-06-02 09:00:00";0,533
"2014-06-02 09:15:00";0,654
"2014-06-02 09:30:00";0,69
"2014-06-02 09:45:00";0,679
"2014-06-02 10:00:00";0,673
"2014-06-02 10:15:00";0,666
"2014-06-02 10:30:00";0,616
"2014-06-02 10:45:00";0,58
"2014-06-02 11:00:00";3,167
"2014-06-02 11:15:00";3,668
"2014-06-02 11:30:00";3,764
"2014-06-02 11:45:00";3,773
"2014-06-02 12:00:00";3,755
"2014-06-02 12:15:00";3,745
"2014-06-02 12:30:00";3,74
"2014-06-02 12:45:00";3,663
"2014-06-02 13:00:00";3,645
"2014-06-02 13:15:00";3,637
"2014-06-02 13:30:00";3,646
"2014-06-02 13:45:00";3,747
"2014-06-02 14:00:00";3,748
"2014-06-02 14:15:00";6,885
"2014-06-02 14:30:00";6,863
"2014-06-02 14:45:00";6,806
"2014-06-02 15:00:00";6,951
"2014-06-02 15:15:00";7,044
"2014-06-02 15:30:00";7,024
"2014-06-02 15:45:00";7,019
"2014-06-02 16:00:00";4,62
"2014-06-02 16:15:00";4,146
"2014-06-02 16:30:00";4,268
"2014-06-02 16:45:00";2,882
"2014-06-02 17:00:00";0,709
"2014-06-02 17:15:00";1,716
"2014-06-02 17:30:00";4,06
"2014-06-02 17:45:00";4,158
"2014-06-02 18:00:00";4,206
"2014-06-02 18:15:00";4,259
"2014-06-02 18:30:00";3,218
"2014-06-02 18:45:00";2,886
"2014-06-02 19:00:00";4,341
"2014-06-02 19:15:00";4,394
"2014-06-02 19:30:00";2,656
"2014-06-02 19:45:00";2,757
"2014-06-02 20:00:00";4,133
"2014-06-02 20:15:00";2,113
"2014-06-02 20:30:00";2,15
"2014-06-02 20:45:00";4,042
"2014-06-02 21:00:00";1,632
"2014-06-02 21:15:00";1,087
"2014-06-02 21:30:00";2,984
"2014-06-02 21:45:00";3,478
"2014-06-02 22:00:00";0,557
"2014-06-02 22:15:00";0,684
"2014-06-02 22:30:00";3,339
"2014-06-02 22:45:00";3,329
"2014-06-02 23:00:00";3,017
"2014-06-02 23:15:00";2,958
"2014-06-02 23:30:00";1,121
"2014-06-02 23:45:00";2,573
"2014-06-03 00:00:00";1,223
"2014-06-03 00:15:00";2,657
"2014-06-03 00:30:00";0,264
"2014-06-03 00:45:00";0,255
"2014-06-03 01:00:00";0,213
"2014-06-03 01:15:00";0,17
"2014-06-03 01:30:00";0,167
"2014-06-03 01:45:00";0,539
"2014-06-03 02:00:00";2,983
"2014-06-03 02:15:00";0,441
"2014-06-03 02:30:00";2,301
"2014-06-03 02:45:00";0,413
"2014-06-03 03:00:00";1,689
"2014-06-03 03:15:00";1,137
"2014-06-03 03:30:00";0,684
"2014-06-03 03:45:00";1,228
"2014-06-03 04:00:00";0,988
"2014-06-03 04:15:00";0,648
"2014-06-03 04:30:00";1,309
"2014-06-03 04:45:00";1,226
"2014-06-03 05:00:00";0,721
"2014-06-03 05:15:00";1,309
"2014-06-03 05:30:00";0,663
"2014-06-03 05:45:00";0,284
"2014-06-03 06:00:00";1,953
"2014-06-03 06:15:00";0,28
"2014-06-03 06:30:00";0,329
"2014-06-03 06:45:00";1,582
"2014-06-03 07:00:00";0,694
"2014-06-03 07:15:00";2,39
"2014-06-03 07:30:00";0,566
"2014-06-03 07:45:00";2,749
"2014-06-03 08:00:00";0,75
"2014-06-03 08:15:00";1,274
"2014-06-03 08:30:00";0,267
"2014-06-03 08:45:00";0,184
"2014-06-03 09:00:00";0,414
"2014-06-03 09:15:00";0,456
"2014-06-03 09:30:00";0,529
"2014-06-03 09:45:00";0,561
"2014-06-03 10:00:00";0,55
"2014-06-03 10:15:00";0,546
"2014-06-03 10:30:00";0,539
"2014-06-03 10:45:00";0,459
"2014-06-03 11:00:00";2,994
"2014-06-03 11:15:00";3,521
"2014-06-03 11:30:00";3,526
"2014-06-03 11:45:00";3,634
"2014-06-03 12:00:00";3,631
"2014-06-03 12:15:00";3,618
"2014-06-03 12:30:00";3,611
"2014-06-03 12:45:00";3,572
"2014-06-03 13:00:00";3,518
"2014-06-03 13:15:00";3,511
"2014-06-03 13:30:00";3,511
"2014-06-03 13:45:00";3,584
"2014-06-03 14:00:00";3,631
"2014-06-03 14:15:00";3,615
"2014-06-03 14:30:00";3,61
"2014-06-03 14:45:00";3,603
"2014-06-03 15:00:00";3,538
"2014-06-03 15:15:00";3,599
"2014-06-03 15:30:00";4,701
"2014-06-03 15:45:00";7,073
"2014-06-03 16:00:00";2,269
"2014-06-03 16:15:00";0,906
"2014-06-03 16:30:00";4,013
"2014-06-03 16:45:00";4,483
"2014-06-03 17:00:00";4,237
"2014-06-03 17:15:00";1,128
"2014-06-03 17:30:00";1,091
"2014-06-03 17:45:00";0,902
"2014-06-03 18:00:00";5,251
"2014-06-03 18:15:00";5,582
"2014-06-03 18:30:00";2,802
"2014-06-03 18:45:00";1,767
"2014-06-03 19:00:00";1,065
"2014-06-03 19:15:00";4,055
"2014-06-03 19:30:00";3,996
"2014-06-03 19:45:00";2,469
"2014-06-03 20:00:00";4,82
"2014-06-03 20:15:00";3,388
"2014-06-03 20:30:00";1,954
"2014-06-03 20:45:00";1,832
"2014-06-03 21:00:00";5,298
"2014-06-03 21:15:00";2,262
"2014-06-03 21:30:00";4,655
"2014-06-03 21:45:00";4,801
"2014-06-03 22:00:00";4,591
"2014-06-03 22:15:00";4,696
"2014-06-03 22:30:00";4,561
"2014-06-03 22:45:00";1,913
"2014-06-03 23:00:00";2,949
"2014-06-03 23:15:00";4,026
"2014-06-03 23:30:00";0,837
"2014-06-03 23:45:00";2,086
"2014-06-04 00:00:00";2,798
"2014-06-04 00:15:00";0,611
"2014-06-04 00:30:00";0,605
"2014-06-04 00:45:00";0,585
"2014-06-04 01:00:00";0,487
"2014-06-04 01:15:00";0,282
"2014-06-04 01:30:00";0,284
"2014-06-04 01:45:00";0,333
"2014-06-04 02:00:00";0,398
"2014-06-04 02:15:00";0,383
"2014-06-04 02:30:00";0,376
"2014-06-04 02:45:00";0,367
"2014-06-04 03:00:00";0,332
"2014-06-04 03:15:00";0,388
"2014-06-04 03:30:00";0,328
"2014-06-04 03:45:00";0,38
"2014-06-04 04:00:00";0,392
"2014-06-04 04:15:00";0,381
"2014-06-04 04:30:00";0,375
"2014-06-04 04:45:00";0,367
"2014-06-04 05:00:00";0,335
"2014-06-04 05:15:00";0,279
"2014-06-04 05:30:00";0,277
"2014-06-04 05:45:00";0,299
"2014-06-04 06:00:00";0,385
"2014-06-04 06:15:00";1,041
"2014-06-04 06:30:00";0,766
"2014-06-04 06:45:00";0,839
"2014-06-04 07:00:00";1,443
"2014-06-04 07:15:00";3,453
"2014-06-04 07:30:00";5,679
"2014-06-04 07:45:00";6,285
"2014-06-04 08:00:00";6,396
"2014-06-04 08:15:00";4,546
"2014-06-04 08:30:00";3,672
"2014-06-04 08:45:00";3,588
"2014-06-04 09:00:00";3,552
"2014-06-04 09:15:00";3,547
"2014-06-04 09:30:00";3,561
"2014-06-04 09:45:00";3,659
"2014-06-04 10:00:00";3,647
"2014-06-04 10:15:00";3,643
"2014-06-04 10:30:00";3,651
"2014-06-04 10:45:00";3,631
"2014-06-04 11:00:00";3,561
"2014-06-04 11:15:00";3,561
"2014-06-04 11:30:00";3,558
"2014-06-04 11:45:00";3,595
"2014-06-04 12:00:00";3,672
"2014-06-04 12:15:00";3,655
"2014-06-04 12:30:00";3,65
"2014-06-04 12:45:00";3,642
"2014-06-04 13:00:00";3,601
"2014-06-04 13:15:00";3,548
"2014-06-04 13:30:00";3,547
"2014-06-04 13:45:00";3,845
"2014-06-04 14:00:00";3,816
"2014-06-04 14:15:00";6,638
"2014-06-04 14:30:00";6,682
"2014-06-04 14:45:00";6,792
"2014-06-04 15:00:00";7,178
"2014-06-04 15:15:00";7,172
"2014-06-04 15:30:00";6,428
"2014-06-04 15:45:00";3,861
"2014-06-04 16:00:00";5,076
"2014-06-04 16:15:00";6,754
"2014-06-04 16:30:00";6,674
"2014-06-04 16:45:00";4,498
"2014-06-04 17:00:00";4,362
"2014-06-04 17:15:00";7,014
"2014-06-04 17:30:00";7,117
"2014-06-04 17:45:00";6,995
"2014-06-04 18:00:00";5,639
"2014-06-04 18:15:00";3,834
"2014-06-04 18:30:00";6,408
"2014-06-04 18:45:00";6,933
"2014-06-04 19:00:00";6,231
"2014-06-04 19:15:00";3,87
"2014-06-04 19:30:00";5,536
"2014-06-04 19:45:00";4,68
"2014-06-04 20:00:00";4,076
"2014-06-04 20:15:00";4,111
"2014-06-04 20:30:00";4,079
"2014-06-04 20:45:00";3,888
"2014-06-04 21:00:00";1,034
"2014-06-04 21:15:00";2,594
"2014-06-04 21:30:00";2,958
"2014-06-04 21:45:00";1,771
"2014-06-04 22:00:00";0,891
"2014-06-04 22:15:00";1,807
"2014-06-04 22:30:00";2,643
"2014-06-04 22:45:00";2,905
"2014-06-04 23:00:00";0,676
"2014-06-04 23:15:00";1,19
"2014-06-04 23:30:00";3,237
"2014-06-04 23:45:00";1,772
"2014-06-05 00:00:00";0,772
"2014-06-05 00:15:00";1,334
"2014-06-05 00:30:00";0,817
"2014-06-05 00:45:00";0,705
"2014-06-05 01:00:00";0,793
"2014-06-05 01:15:00";0,781
"2014-06-05 01:30:00";0,65
"2014-06-05 01:45:00";1,059
"2014-06-05 02:00:00";2,844
"2014-06-05 02:15:00";0,41
"2014-06-05 02:30:00";0,326
"2014-06-05 02:45:00";0,324
"2014-06-05 03:00:00";0,325
"2014-06-05 03:15:00";0,401
"2014-06-05 03:30:00";0,438
"2014-06-05 03:45:00";0,423
"2014-06-05 04:00:00";0,414
"2014-06-05 04:15:00";0,385
"2014-06-05 04:30:00";0,307
"2014-06-05 04:45:00";2,414
"2014-06-05 05:00:00";0,967
"2014-06-05 05:15:00";0,304
"2014-06-05 05:30:00";0,448
"2014-06-05 05:45:00";0,764
"2014-06-05 06:00:00";1,364
"2014-06-05 06:15:00";4,195
"2014-06-05 06:30:00";1,255
"2014-06-05 06:45:00";1,685
"2014-06-05 07:00:00";3,77
"2014-06-05 07:15:00";1,268
"2014-06-05 07:30:00";1,239
